INSEE_DEP;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2
1;BOURG EN BRESSE;41365;314;1627
1;GEX;12652;180;3874
1;VALSERHONE;16302;170;2015
1;SAINT GENIS POUILLY;11892;169;4098
1;AMBERIEU EN BUGEY;14081;168;2005
1;DIVONNE LES BAINS;9465;148;5351
1;OYONNAX;22559;148;1436
1;PREVESSIN MOENS;7991;108;4643
1;BELLEY;9133;104;1616
1;FERNEY VOLTAIRE;9637;99;3974
1;LAGNIEU;7090;74;1866
1;THOIRY;6094;62;4031
1;MIRIBEL;9742;61;2839
1;ORNEX;4400;55;4786
1;CESSY;4836;52;4386
1;PERONNAS;6287;46;1988
1;MONTLUEL;7005;41;2208
1;LOYETTES;3145;40;2547
1;PLATEAU D HAUTEVILLE;4845;39;1515
1;AMBRONAY;2684;37;1963
1;SAINT DENIS EN BUGEY;2293;36;1678
1;SAINT JEAN DE GONVILLE;1720;35;4052
1;MEXIMIEUX;7669;34;2223
1;CHEVRY;1643;33;4772
1;JASSANS RIOTTIER;6391;31;2662
1;JUJURIEUX;2181;31;1617
1;SERGY;2045;31;4055
1;NANTUA;3482;31;1122
1;TREVOUX;6849;30;2532
1;SAINT DENIS LES BOURG;5667;30;1984
1;CULOZ;3053;28;1518
1;PERON;2584;28;3905
1;REPLONGES;3702;27;1771
1;SEGNY;2016;27;4381
1;VIRIAT;6350;27;1813
1;DAGNEUX;4706;27;2492
1;CHATILLON SUR CHALARONNE;4886;26;2051
1;ECHENEVEX;2172;26;4230
1;BEYNOST;4557;26;3681
1;VILLEBOIS;1160;26;1268
1;CHATEAU GAILLARD;2080;26;1938
1;MONTMERLE SUR SAONE;3811;25;2295
1;SAINT RAMBERT EN BUGEY;2310;25;1349
1;MONTREAL LA CLUSE;3409;25;1778
1;BELLIGNAT;3618;24;1552
1;VILLARS LES DOMBES;4628;24;2531
1;SAINT JEAN LE VIEUX;1699;24;1568
1;SAINT MAURICE DE BEYNOST;3965;24;2486
1;SEYSSEL;997;23;1723
1;COLLONGES;2223;23;3653
1;SAINT LAURENT SUR SAONE;1754;22;1426
1;VERSONNEX;2186;22;4223
1;PONCIN;1696;22;1379
1;CROZET;2126;21;4297
1;PONT D AIN;2914;21;1718
1;MONTREVEL EN BRESSE;2463;21;1745
1;ARBENT;3379;21;2082
1;SAINT ANDRE DE CORCY;3241;20;2859
1;SERRIERES DE BRIORD;1262;20;1429
1;LEYMENT;1285;20;2189
1;CHALLEX;1450;19;3886
1;CHAZEY SUR AIN;1513;19;1893
1;ATTIGNAT;3270;19;2462
1;BOISSE;3021;18;2757
1;ANGLEFORT;1124;17;1970
1;REYRIEUX;4670;17;2593
1;MIJOUX;340;17;2413
1;BRENS;1169;17;1788
1;FRANS;2334;17;2636
1;VIRIEU LE GRAND;1056;16;1283
1;CHALAMONT;2406;16;2014
1;TENAY;1044;16;971
1;NEUVILLE SUR AIN;1741;16;1874
1;DORTAN;1846;16;1744
1;FEILLENS;3254;16;1426
1;SAINT ETIENNE DU BOIS;2490;15;1628
1;ARTEMARE;1227;15;1498
1;CERDON;785;15;1315
1;BAGE DOMMARTIN;4088;15;1742
1;SAVIGNEUX;1333;15;2751
1;TORCIEU;725;14;1494
1;SAINT DIDIER SUR CHALARONNE;2832;14;2000
1;VONNAS;2929;14;1759
1;MARTIGNAT;1627;14;1675
1;BLYES;993;14;2350
1;VAUX EN BUGEY;1228;14;1693
1;GROSLEE SAINT BENOIT;1193;13;1588
1;NEUVILLE LES DAMES;1505;13;1510
1;SAINTE JULIE;999;13;2111
1;AMBERIEUX EN DOMBES;1671;13;2442
1;COLIGNY;1187;13;1074
1;GRILLY;808;12;4758
1;CHATILLON LA PALUD;1574;12;1724
1;SAULT BRENAZ;960;12;1884
1;MAGNIEU;640;12;1624
1;BETTANT;750;12;1520
1;IZERNORE;2257;12;1733
1;FARGES;1013;12;3726
1;VIEU D IZENAVE;699;12;1460
1;NEYRON;2507;11;3765
1;BRIORD;991;11;1601
1;PRIAY;1707;11;1731
1;POLLIAT;2504;11;1678
1;PARVES ET NATTAGES;937;11;1787
1;PONT DE VEYLE;1618;11;1483
1;BALAN;2856;11;2287
1;LELEX;225;11;1863
